start_beats,duration_beats,midi_note,velocity,role
0.000,3.800,48,46,bass
0.000,3.800,60,42,harmony
0.000,3.800,64,42,harmony
0.000,3.800,67,42,harmony
0.000,0.660,65,86,melody
0.750,0.660,62,84,melody
1.500,1.100,71,75,melody
2.750,1.100,64,71,melody
4.000,3.800,53,46,bass
4.000,3.800,65,42,harmony
4.000,3.800,69,42,harmony
4.000,3.800,72,42,harmony
4.000,1.100,60,79,melody
5.250,1.100,71,77,melody
6.500,0.660,65,85,melody
7.250,0.660,62,81,melody
8.000,3.800,55,46,bass
8.000,3.800,67,42,harmony
8.000,3.800,71,42,harmony
8.000,3.800,74,42,harmony
8.000,0.660,71,74,melody
8.750,0.660,64,76,melody
9.500,1.100,60,70,melody
10.750,1.100,71,79,melody
12.000,3.800,48,46,bass
12.000,3.800,60,42,harmony
12.000,3.800,64,42,harmony
12.000,3.800,67,42,harmony
12.000,1.100,65,81,melody
13.250,1.100,62,72,melody
14.500,0.660,71,80,melody
15.250,0.660,64,77,melody
