start_beats,duration_beats,midi_note,velocity,role
0.000,3.800,48,46,bass
0.000,3.800,60,42,harmony
0.000,3.800,64,42,harmony
0.000,3.800,67,42,harmony
0.000,0.660,65,86,melody
0.750,0.660,62,75,melody
1.500,1.320,71,84,melody
3.000,0.880,65,84,melody
4.000,3.800,53,46,bass
4.000,3.800,65,42,harmony
4.000,3.800,69,42,harmony
4.000,3.800,72,42,harmony
4.000,1.100,62,70,melody
5.250,0.880,71,84,melody
6.250,0.660,65,74,melody
7.000,1.100,62,73,melody
8.000,3.800,55,46,bass
8.000,3.800,67,42,harmony
8.000,3.800,71,42,harmony
8.000,3.800,74,42,harmony
8.250,0.660,71,78,melody
9.000,0.660,65,77,melody
9.750,1.320,62,71,melody
11.250,0.880,71,85,melody
12.000,3.800,48,46,bass
12.000,3.800,60,42,harmony
12.000,3.800,64,42,harmony
12.000,3.800,67,42,harmony
12.250,1.100,65,72,melody
13.500,0.880,62,86,melody
14.500,0.660,71,82,melody
15.250,0.660,65,70,melody
